Effective Date,PE CLASSES,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8 ,Step 9,Grade
"JUNE 1, 2023 (4.8%)",14A-PE192,$24.97,$25.64,$26.34,$27.00,$27.66,$28.33,$29.02,$29.68,$ -,5
"JUNE 1, 2023 (4.8%)",14A-PE194,$24.97,$25.64,$26.34,$27.00,$27.66,$28.33,$29.02,$29.68,$ -,5
"JUNE 1, 2023 (4.8%)",14A-PE254,$24.97,$25.64,$26.34,$27.00,$27.66,$28.33,$29.02,$29.68,$ -,5
"JUNE 1, 2023 (4.8%)",14A-PE260,$24.97,$25.64,$26.34,$27.00,$27.66,$28.33,$29.02,$29.68,$ -,5
"JUNE 1, 2023 (4.8%)",14A-PE244,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,6
"JUNE 1, 2023 (4.8%)",14A-PE255,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,6
"JUNE 1, 2023 (4.8%)",14A-PE261,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,6
"JUNE 1, 2023 (4.8%)",14A-PE275,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,6
"JUNE 1, 2023 (4.8%)",14A-PE100,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE196,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE200,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE207,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE225,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE235,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE247,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE256,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE270,$28.55,$29.22,$29.94,$30.73,$31.46,$32.28,$33.10,$33.89,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE130,$32.32,$33.21,$34.08,$34.96,$35.82,$36.72,$37.57,$38.46,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE262,$32.32,$33.21,$34.08,$34.96,$35.82,$36.72,$37.57,$38.46,$ -,7
"JUNE 1, 2023 (4.8%)",14A-PE115,$31.83,$32.60,$33.35,$34.14,$34.95,$35.75,$36.62,$37.41,$38.29,8
"JUNE 1, 2023 (4.8%)",14A-PE236,$32.32,$33.10,$33.85,$34.63,$35.38,$36.14,$36.93,$37.69,$38.46,8
"JUNE 1, 2023 (4.8%)",14A-PE248,$35.65,$36.49,$37.32,$38.18,$39.13,$39.99,$41.01,$41.91,$42.87,8
