Position Code,Previous Position Code,Position Title,Department,Pay Grade
50000479,P1804,"Attendant, Animal Care",Animal Care Facility,GR02
50013555,P1937,"Assistant, Animal Care",Animal Care Facility,PE261-6
50000687,P3661A,Mail Clerk,"Transport, Mail and Distribution Services",GR04
50000688,P1804,Mail Clerk,"Transport, Mail and Distribution Services",GR04
50000689,P3666A,Mail Clerk,"Transport, Mail and Distribution Services",GR04
50000690,P4484,Mail Clerk,"Transport, Mail and Distribution Services",GR04
50000363,P5653,"Assistant, Facilities",Faculty Administration and Operations,GR05
50000697,P3660A,Senior Mail Clerk,"Transport, Mail and Distribution Services",GR05
50000412,,"Assistant, Documentation and Scanning",Documentation and Scanning,GR06
50000414,,"Assistant, Documentation and Scanning",Documentation and Scanning,GR06
50000415,,"Assistant, Documentation and Scanning",Documentation and Scanning,GR06
50000416,,"Assistant, Documentation and Scanning",Documentation and Scanning,GR06
50000417,,"Assistant, Documentation and Scanning",Documentation and Scanning,GR06
50000698,P1888,"Clerk, Depot",Communication Studies,PE236-8
50000699,P1937,"Service Assistant, Student Academic Services",Mel Hoppenheim School of Cinema,GR06
50000700,P1935,"Clerk, Records Management",Office of the University Secretariat,GR06
50000701,P5803,"Clerk, Records Management",Records Management and Archives,GR06
50020155,C5669,"Clerk, Records Management",Office of the University Secretariat,GR06
50000367,P1829,"Assistant, Executive Training Program",John Molson Executive Center LLL,GR07
50000368,P1841,"Assistant, Data Processing",Gift Accounting and Gift Processing,GR07
50001016,,"Representative, Customer Support",Print Services,GR07
50000075,P5091A,"Assistant, Accounts Payable and Travel Desk",Accounts Payable,GR08
50000369,P1941,Office Assistant,Office of the Provost and Vice-President Academic,GR08
50000370,P1951,"Administrative Assistant, Indigenous Directions Office",Indigenous Directions,GR08
50000372,P1873,Student Engagement Assistant,Dean of Students Office,GR08
50000377,P4994,Administrative Assistant,Office of Research,GR08
50000378,P1816,"Assistant, Operations",Institute for Cooperative Education,GR08
50000379,P1794,Office Assistant,Office of the Provost and Vice-President Academic,GR08
50000380,P2460A,"Assistant, Program",Studio Arts,GR08
50000381,P4946,Administrative Assistant,Office of Research,GR08
50000429,P5606,"Booking Coordinator, Service Desk and Training",Service Desk and Training,GR08
50000678,P1664,"Assistant Buyer, Central Chemical Stores",FAS Academic Facilities,GR08
50000708,P4850,"Assistant, Accounts Payable and Travel Desk",Accounts Payable,GR08
50000713,P4927,"Assistant, Accounts Payable and Travel Desk",Accounts Payable,GR08
50000714,,"Administrative Assistant, Contracts and Procurement","Administration Services, Instructional and Information Technology Services",
50000715,,"Administrative Assistant, Telephony and Receivables",,GR08
50000716,P4931,"Assistant, Accounts Payable and Travel Desk",Accounts Payable,GR08
50000798,P1866,Booking and Support Coordinator,Event Services Administration,GR08
50000802,P4865,"Coordinator, Support",Parking,GR08
50001013,P4974,"Coordinator, Dprint Customer Service",Print Services,GR08
50001023,P2427B,Department Assistant,Art Education,GR08
50001024,P5622,Department Assistant,Art History,GR08
50001025,P2491A,Department Assistant,Creative Arts Therapies,GR08
50001026,P2450B,Department Assistant,Design and Computation Arts,GR08
50001027,P2434A,Department Assistant,Mel Hoppenheim School of Cinema,GR08
50001028,P2773,Department Assistant,Mel Hoppenheim School of Cinema,GR08
50001031,P5564,Department Assistant,Performing Arts,GR08
50001032,P5565,Department Assistant,Performing Arts,GR08
50001033,P2291D,Department Assistant,Supply Chain and Business Technology Management,GR08
50001034,P2598B,Department Assistant,Finance,GR08
50001035,P2243C,Department Assistant,Accountancy,GR08
50001036,P4394,Department Assistant,Otsenhákta Student Centre,GR08
50001037,P5707,Department Assistant,Office of Rights and Responsibilities,GR08
50001038,,Department Assistant,Concordia International,GR08
50001039,P4771,Department and Travel Assistant,"Administration, Recreation and Athletics",GR08
50001040,P1608,"Department Assistant, Management",Management,GR08
50001045,P5171C,"Assistant, Department and Employee Services","HR Administration, HRIS and Projects",GR08
50001050,P2032B,Department Assistant,English,GR08
50010900,P5936,Department Assistant,"Administration, Environmental Health and Safety",GR08
50010901,,"Coordinator, Customer Service",Card Office,GR08
50010926,P5887,"Coordinator, Lease and Rentals",Leasing and Services,GR08
50013190,,Department Assistant,Office of the Provost and Vice-President Academic,GR08
50013400,P5935,"Assistant, Sustainability Engagement","Sustainability, Environmental Health and Safety",GR08
50020145,P7017,"Administrative Assistant, Faculty Relations",Faculty Relations,GR08
50020281,,"Assistant, Data Reporting",Institute for Cooperative Education,GR08
50020473,,Department Assistant,Dean of Students Office,GR08
50020476,,"Assistant, Accounts Payable and Travel Desk",Accounts Payable,GR08
50020521,,"Assistant, Pension and Benefits",Benefits And Pension,GR08
50020860,,"Assistant, Business Operations",Parking,GR08
50021068,,Department Assistant,Chemical and Materials Engineering,GR08
50021363,,"Assistant, Office",Multi Faith and Spirituality Centre,GR08
50000076,P5085B,"Coordinator, Travel Card and Reimbursement Services",Accounts Payable,GR09
50000366,,"Administrative Coordinator, Graduate and Professional Skills",Graduate Studies,GR09
50000395,,"Assistant, Administrative and Financial",Residences - Administration,GR09
50000397,P5392,"Administrative Coordinator, Alumni Relations",Alumni Relations Operations,GR09
50000440,,"Coordinator, Graduate Services",Mathematics and Statistics,GR09
50000463,,Administrative Assistant,Campus Wellness and Support Services,GR09
50000516,,"Coordinator, Student Support",Birks Student Service Center,GR09
50000576,P1884,Program Assistant Fine Arts Interdisciplinary Studies Courses,"Office of the Dean, Faculty of Fine Arts",GR09
50000577,P1921,"Administrative Assistant, MBA and Graduate Programs Business Administration",MBA Program,GR09
50000578,P2813A,Administrative Assistant,MBA Program,GR09
