Effective Date,Grade,STEP 1,STEP 2,STEP 3 ,STEP 4,STEP 5,STEP 6,STEP 7,STEP 8,STEP 9 ,STEP 10
"JUNE 1, 2023 (4.8%)",GR01,$18.48,$19.22,$20.06,$20.90,$21.76,$ -,$ -,$ -,$ -,$ -
"JUNE 1, 2023 (4.8%)",GR02,$19.92,$20.57,$21.20,$21.88,$22.62,$23.36,$ -,$ -,$ -,$ -
"JUNE 1, 2023 (4.8%)",GR03,$21.37,$22.04,$22.59,$23.19,$23.79,$24.46,$25.09,$ -,$ -,$ -
"JUNE 1, 2023 (4.8%)",GR04,$22.96,$23.55,$24.23,$24.91,$25.54,$26.36,$27.01,$ -,$ -,$ -
"JUNE 1, 2023 (4.8%)",GR05,$24.43,$25.03,$25.60,$26.36,$26.93,$27.56,$28.32,$29.03,$ -,$ -
"JUNE 1, 2023 (4.8%)",GR06,$26.20,$26.87,$27.52,$28.24,$28.94,$29.65,$30.44,$31.22,$ -,$ -
"JUNE 1, 2023 (4.8%)",GR07,$28.32,$29.03,$29.75,$30.51,$31.27,$32.02,$32.85,$33.68,$ -,$ -
"JUNE 1, 2023 (4.8%)",GR08,$30.17,$30.90,$31.65,$32.35,$33.15,$33.89,$34.71,$35.49,$36.31,$ -
"JUNE 1, 2023 (4.8%)",GR09,$32.61,$33.35,$34.16,$35.00,$35.77,$36.66,$37.42,$38.36,$39.23,$ -
"JUNE 1, 2023 (4.8%)",GR10,$35.22,$35.99,$36.90,$37.74,$38.64,$39.55,$40.45,$41.39,$42.41,$ -
"JUNE 1, 2023 (4.8%)",GR11,$37.52,$38.41,$39.23,$40.07,$41.03,$41.90,$42.87,$43.80,$44.77,$45.72
"JUNE 1, 2023 (4.8%)",GR12,$40.53,$41.42,$42.32,$43.26,$44.24,$45.23,$46.17,$47.29,$48.32,$49.44
Effective Date,Grade ,STEP 1,STEP 2,STEP 3 ,STEP 4,STEP 5,STEP 6,STEP 7,STEP 8,STEP 9 ,STEP 10
"JUNE 1, 2024 (3.2%)",GR01,$19.07,$19.84,$20.70,$21.57,$22.46,$ -,$ -,$ -,$ -,$ -
"JUNE 1, 2024 (3.2%)",GR02,$20.56,$21.23,$21.88,$22.58,$23.34,$24.11,$ -,$ -,$ -,$ -
"JUNE 1, 2024 (3.2%)",GR03,$22.05,$22.75,$23.31,$23.93,$24.55,$25.24,$25.89,$ -,$ -,$ -
"JUNE 1, 2024 (3.2%)",GR04,$23.69,$24.30,$25.01,$25.71,$26.36,$27.20,$27.87,$ -,$ -,$ -
"JUNE 1, 2024 (3.2%)",GR05,$25.21,$25.83,$26.42,$27.20,$27.79,$28.44,$29.23,$29.96,$ -,$ -
"JUNE 1, 2024 (3.2%)",GR06,$27.04,$27.73,$28.40,$29.14,$29.87,$30.60,$31.41,$32.22,$ -,$ -
"JUNE 1, 2024 (3.2%)",GR07,$29.23,$29.96,$30.70,$31.49,$32.27,$33.04,$33.90,$34.76,$ -,$ -
"JUNE 1, 2024 (3.2%)",GR08,$31.14,$31.89,$32.66,$33.39,$34.21,$34.97,$35.82,$36.63,$37.47,$ -
"JUNE 1, 2024 (3.2%)",GR09,$33.65,$34.42,$35.25,$36.12,$36.91,$37.83,$38.62,$39.59,$40.49,$ -
"JUNE 1, 2024 (3.2%)",GR10,$36.35,$37.14,$38.08,$38.95,$39.88,$40.82,$41.74,$42.71,$43.77,$ -
"JUNE 1, 2024 (3.2%)",GR11,$38.72,$39.64,$40.49,$41.35,$42.34,$43.24,$44.24,$45.20,$46.20,$47.18
"JUNE 1, 2024 (3.2%)",GR12,$41.83,$42.75,$43.67,$44.64,$45.66,$46.68,$47.65,$48.80,$49.87,$51.02
Effective Date,Grade,STEP 1,STEP 2,STEP 3 ,STEP 4,STEP 5,STEP 6,STEP 7,STEP 8,STEP 9 ,STEP 10
"JUNE 1, 2025 (3.0%)",GR01,$19.64,$20.44,$21.32,$22.22,$23.13,$ -,$ -,$ -,$ -,$ -
"JUNE 1, 2025 (3.0%)",GR02,$21.18,$21.87,$22.54,$23.26,$24.04,$24.83,$ -,$ -,$ -,$ -
"JUNE 1, 2025 (3.0%)",GR03,$22.71,$23.43,$24.01,$24.65,$25.29,$26.00,$26.67,$ -,$ -,$ -
"JUNE 1, 2025 (3.0%)",GR04,$24.40,$25.03,$25.76,$26.48,$27.15,$28.02,$28.71,$ -,$ -,$ -
"JUNE 1, 2025 (3.0%)",GR05,$25.97,$26.60,$27.21,$28.02,$28.62,$29.29,$30.11,$30.86,$ -,$ -
"JUNE 1, 2025 (3.0%)",GR06,$27.85,$28.56,$29.25,$30.01,$30.77,$31.52,$32.35,$33.19,$ -,$ -
"JUNE 1, 2025 (3.0%)",GR07,$30.11,$30.86,$31.62,$32.43,$33.24,$34.03,$34.92,$35.80,$ -,$ -
"JUNE 1, 2025 (3.0%)",GR08,$32.07,$32.85,$33.64,$34.39,$35.24,$36.02,$36.89,$37.73,$38.59,$ -
"JUNE 1, 2025 (3.0%)",GR09,$34.66,$35.45,$36.31,$37.20,$38.02,$38.96,$39.78,$40.78,$41.70,$ -
"JUNE 1, 2025 (3.0%)",GR10,$37.44,$38.25,$39.22,$40.12,$41.08,$42.04,$42.99,$43.99,$45.08,$ -
"JUNE 1, 2025 (3.0%)",GR11,$39.88,$40.83,$41.70,$42.59,$43.61,$44.54,$45.57,$46.56,$47.59,$48.60
"JUNE 1, 2025 (3.0%)",GR12,$43.08,$44.03,$44.98,$45.98,$47.03,$48.08,$49.08,$50.26,$51.37,$52.55
